,TEST_SECTION_ID,SENTENCE_ID,PARTICIPANT_ID,USER_INPUT,INPUT_TIME,EDIT_DISTANCE,ERROR_RATE,WPM,INPUT_LENGTH,ERROR_LEN,POTENTIAL_WPM,POTENTIAL_LENGTH,DEVICE,TS_IKI,TS_KPD,TS_BSP,TS_ECPC,TS_UILEN,TS_KS,TS_KSPC,N_SWYP,N_PRED,N_AUTO,PR_SWYP,PR_PRED,PR_AUTO,TS_NUM_WORDS
523,3923,1396,1061,"I’m optimistic, yes,but confident,no.",31901,3.0,7.69230769230769,13.5418952383938,36.0,39,13.9539390807197,36.0,mobile,104.513513513514,25.459459459,0.0,0.0,37.0,37.0,1.0,0,0,0,0,0,0,7.0
525,3932,1020,1061,Call me to giv me a heads up.,15976,1.0,3.33333333333333,21.0315473209815,28.0,30,22.5644699140401,21.0,mobile,68.0645161290323,21.870967741,1.0,0.0357142857142857,29.0,31.0,1.068965517,0,0,0,0,0,0,8.0
529,3938,187,1061,"OK to make changes, change out original.",24889,0.0,0.0,18.8034874844309,39.0,40,19.4951262184454,39.0,mobile,114.9,22.075,0.0,0.0,40.0,40.0,1.0,0,0,0,0,0,0,7.0
543,3954,191,1061,The filing concerns various scheduling and balancing rules.,38813,0.0,0.0,17.9321361399531,58.0,59,18.52098246361,58.0,mobile,232.915254237288,20.915254237,0.0,0.0,59.0,59.0,1.0,0,0,0,0,0,0,8.0
547,3961,389,1061,One of the Hottest Gifts for Holiday 2001.,28198,0.0,0.0,17.4480459607064,41.0,42,18.0497468633062,41.0,mobile,166.595238095238,22.38095238,0.0,0.0,42.0,42.0,1.0,0,0,0,0,0,0,8.0
550,3965,828,1061,Has Dynegy made a specific request?,29414,0.0,0.0,13.8709458081186,34.0,35,14.24232903969,34.0,mobile,102.571428571429,21.914285714,0.0,0.0,35.0,35.0,1.0,0,0,0,0,0,0,6.0
551,3971,545,1061,Jackie Adams is trying to get this done today.,29222,0.0,0.0,18.47922797892,45.0,46,19.1279090361659,45.0,mobile,183.065217391304,21.54347826,0.0,0.0,46.0,46.0,1.0,0,0,0,0,0,0,9.0
552,3976,1468,1061,The meeting came days after the entry into Chernomyrdin’s team.,53155,1.0,1.58730158730159,13.9968018060389,62.0,63,16.1865808023671,62.0,mobile,195.794520547945,22.287671232,5.0,0.0806451612903226,63.0,73.0,1.158730158,0,0,0,0,0,0,11.0
554,3984,810,1061,Joel will handle this.,13518,0.0,0.0,18.641810918775,21.0,22,19.3488943488944,21.0,mobile,261.090909090909,22.454545454,0.0,0.0,22.0,22.0,1.0,0,0,0,0,0,0,4.0
555,3987,225,1061,Please respond if anyone has a different view.,30561,0.0,0.0,17.6695788750368,45.0,46,17.4071450258071,43.0,mobile,127.931818181818,20.863636363,0.0,0.0,46.0,44.0,0.956521739,0,0,0,0,0,0,8.0
