,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration,chunck.length,chunck.length,error.rate,error.rate,kspc,kspc,sentence.length,sentence.length
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 million visitors will flood atlanta each day of the olympics>,1078.0,,0.0,,19.424322048489888,,3.0,,15.0,,15.0,,0.0,,2.0,,0.8610629538850169,,78.0,,211.02409225920556,,416.331468431756,,0.0,,1.0,,270.1227055776073,,2.8260869565217392,,4.918032786885246,,1.4918032786885247,,61.0,
a bad thing has been turned into a good thing and>,1248.0,,0.0,,20.35673527913501,,0.0,,21.0,,4.0,,1.0,,1.0,,0.7794080475340797,,76.0,,168.644787480388,,508.1771435525816,,1.0,,0.0,,319.2182197917902,,1.606060606060606,,0.0,,1.163265306122449,,49.0,
a bad thing has been turned into a good thing>,1180.0,,0.0,,20.71174068640698,,0.0,,24.0,,1.0,,1.0,,0.0,,0.6975916623205058,,74.0,,149.94423850991114,,555.2406325532743,,1.0,,0.0,,352.6406629010408,,1.3235294117647058,,0.0,,1.0444444444444445,,45.0,
a bit behind on my emails>,264.0,,0.0,,16.92173047734975,,0.0,,10.0,,6.0,,1.0,,1.0,,0.8244223913737005,,43.0,,120.89070397784953,,485.2060684206921,,1.0,,0.0,,308.6764799280052,,1.875,,0.0,,1.48,,25.0,
a definitive basic law will be drawn up within a year>,1251.0,,0.0,,21.685656475361736,,0.0,,24.0,,0.0,,0.0,,0.0,,0.7132874273153793,,78.0,,174.943659823998,,553.3611589593269,,0.0,,0.0,,357.02091837469646,,1.368421052631579,,0.0,,1.0,,53.0,
a detailed organizational chart is attached>,743.0,,0.0,,18.75530942195292,,0.0,,19.0,,6.0,,0.0,,2.0,,0.7724636416325582,,63.0,,185.88845830052824,,502.7147895270324,,1.0,,0.0,,324.15172660581175,,2.0434782608695654,,0.0,,1.2790697674418603,,43.0,
a gift isnt necessary>,1422.0,,0.0,,20.44265168025873,,0.0,,8.0,,2.0,,0.0,,1.0,,0.825774465796135,,33.0,,85.31391681120708,,496.6990737141808,,1.0,,0.0,,296.70615596554774,,1.9166666666666667,,0.0,,1.1904761904761905,,21.0,
a growing number of us households are joining the middle class>,843.0,,0.0,,22.167504631807937,,0.0,,20.0,,2.0,,0.0,,1.0,,0.7780897548992701,,87.0,,212.85988664632157,,509.01453623072825,,1.0,,0.0,,309.2308857153069,,2.0,,0.0,,1.064516129032258,,62.0,
a hungarian neuro surgeon said that medical supplies are low>,1259.0,,0.0,,17.374617015552932,,33.0,,13.0,,4.0,,2.0,,1.0,,0.7937441210241396,,50.0,,138.35104528427252,,568.7810518257902,,0.0,,1.0,,360.63137474989065,,1.4285714285714286,,55.00000000000001,,0.55,,60.0,
a letter is being sent today>,591.0,,0.0,,20.704181559093374,,0.0,,12.0,,0.0,,0.0,,0.0,,0.6963377506271913,,49.0,,95.19637837433154,,579.5930626743148,,0.0,,0.0,,370.2280143505918,,1.0833333333333333,,0.0,,1.0,,28.0,
a report thursday showed wholesale prices fell percent in april>,110.0,,0.0,,22.168675908383264,,0.0,,16.0,,5.0,,0.0,,1.0,,0.8448669059616133,,75.0,,229.83330468230105,,468.1550860894543,,1.0,,0.0,,289.91085740205466,,2.863636363636364,,0.0,,1.1587301587301588,,63.0,
a state supreme court judge is expected to rule on the issue shortly>,1075.0,,0.0,,17.752248950919903,,7.0,,25.0,,12.0,,1.0,,4.0,,0.8699257606047596,,92.0,,299.0121270423126,,487.3277078648325,,0.0,,1.0,,306.8488106754961,,2.8076923076923075,,10.294117647058822,,1.25,,68.0,
a threeman inquiry team spent months investigating the allegations>,1428.0,,0.0,,21.204268736225245,,0.0,,20.0,,6.0,,1.0,,1.0,,0.864826339245312,,87.0,,260.8053030780692,,479.9606775633212,,1.0,,0.0,,289.37214450027204,,2.869565217391304,,0.0,,1.181818181818182,,66.0,
about jordanian doctors arrived at the hospital a few days ago>,1238.0,,0.0,,18.06327196468288,,4.0,,23.0,,10.0,,2.0,,2.0,,0.8260621286579547,,94.0,,276.31504235412683,,509.0332035515372,,0.0,,1.0,,324.1546941053396,,2.0303030303030303,,6.451612903225806,,1.2258064516129032,,62.0,
about were americans but there were also dutch and swiss>,1479.0,,0.0,,22.368178730180382,,0.0,,21.0,,0.0,,0.0,,0.0,,0.779598218686101,,79.0,,196.50421557658495,,536.4764000123504,,0.0,,0.0,,334.5340155221548,,1.71875,,0.0,,1.0,,56.0,
add a star trek convention and sports memorabilia show to the mix>,865.0,,0.0,,21.052665574621276,,4.0,,22.0,,3.0,,0.0,,1.0,,0.7757981930300901,,91.0,,221.42640017392452,,519.7050431360905,,0.0,,1.0,,323.94001533766226,,1.7714285714285714,,6.153846153846154,,1.0307692307692309,,65.0,
after leaving the navy in he joined the merchant marines>,691.0,,0.0,,22.8701289113334,,0.0,,21.0,,0.0,,0.0,,0.0,,0.7784805028168156,,81.0,,187.07783715234208,,524.7018959326174,,0.0,,0.0,,313.5368332571784,,1.8064516129032255,,0.0,,1.0,,56.0,
all our demographics indicate that is a family audience>,1148.0,,0.0,,20.87679388934661,,0.0,,24.0,,1.0,,1.0,,0.0,,0.7742578927623284,,88.0,,214.4174874010173,,554.9801831623265,,1.0,,0.0,,338.2746408171568,,1.6666666666666667,,0.0,,1.0363636363636364,,55.0,
allocations will be based on wic allocations methods>,652.0,,0.0,,20.466058818578528,,0.0,,22.0,,5.0,,1.0,,1.0,,0.7687870682948197,,74.0,,185.34704523715183,,493.26732541557607,,1.0,,0.0,,313.34295286726325,,1.9655172413793105,,0.0,,1.1923076923076923,,52.0,
also it appears no payment is required tomorrow>,76.0,,0.0,,17.533952304065618,,0.0,,22.0,,8.0,,0.0,,2.0,,0.7801874583926421,,75.0,,208.6842370802208,,513.2898643686375,,1.0,,0.0,,342.60310093212775,,1.6451612903225807,,0.0,,1.3404255319148937,,47.0,
also regarding the cash flow from canada>,1294.0,,0.0,,22.20806451507425,,7.0,,14.0,,0.0,,0.0,,0.0,,0.7365289986437555,,49.0,,109.56568796385923,,540.3442516052993,,0.0,,1.0,,344.92248369371924,,1.4545454545454546,,17.5,,0.85,,40.0,
although we are sending this email to you sportsline>,1434.0,,0.0,,24.2084124952089,,0.0,,11.0,,0.0,,0.0,,0.0,,0.8540389076520614,,60.0,,190.62223467240293,,495.6954530733862,,0.0,,0.0,,288.73490551712405,,3.125,,0.0,,1.0,,52.0,
am i getting a good package>,1355.0,,0.0,,20.440594640168637,,0.0,,11.0,,1.0,,1.0,,0.0,,0.7961836596625973,,41.0,,125.27741126468368,,547.9292651296176,,1.0,,0.0,,335.9283172302061,,1.8571428571428568,,0.0,,1.0740740740740742,,27.0,
amy felling should be your contact on the th>,321.0,,0.0,,19.41497220404881,,0.0,,16.0,,5.0,,0.0,,1.0,,0.805225684056637,,74.0,,157.61564533636587,,487.95764994969545,,1.0,,0.0,,298.5693316466026,,1.8148148148148149,,0.0,,1.2727272727272727,,44.0,
amy was let go last friday here along with another guy>,1384.0,,0.0,,19.730015180940445,,36.0,,8.0,,5.0,,0.0,,1.0,,0.8391492979066504,,25.0,,77.74851835499774,,467.8541372682938,,0.0,,1.0,,309.81466775538195,,2.333333333333333,,66.66666666666666,,0.4629629629629629,,54.0,
amy will be here to cover>,451.0,,0.0,,22.37266620190517,,0.0,,8.0,,0.0,,0.0,,0.0,,0.7908500047965853,,35.0,,92.40896439294346,,536.3687944791367,,0.0,,0.0,,336.99685689682025,,1.2666666666666666,,0.0,,1.0,,25.0,
amy will no longer be here so i will be the only one working on this>,1082.0,,0.0,,22.520720216035023,,3.0,,27.0,,0.0,,0.0,,0.0,,0.7837019656386136,,90.0,,228.400091098893,,532.8426393511098,,0.0,,1.0,,332.2318168961378,,1.911764705882353,,4.411764705882353,,0.9558823529411764,,68.0,
an overwhelming majority do agree on the middle policy>,269.0,,0.0,,24.670101559675416,,0.0,,9.0,,1.0,,1.0,,0.0,,0.8955956659306111,,59.0,,192.98583780931443,,469.3514268845757,,1.0,,0.0,,266.94809105117395,,4.0,,0.0,,1.037037037037037,,54.0,
and if hes not then he doesnt play>,1016.0,,0.0,,19.474188801170552,,0.0,,15.0,,3.0,,0.0,,1.0,,0.8209316903518952,,54.0,,146.42374523547934,,526.0246033153715,,1.0,,0.0,,324.84761616582307,,1.85,,0.0,,1.1764705882352942,,34.0,
and leave my school alone>,141.0,,0.0,,17.830352447459298,,0.0,,9.0,,6.0,,0.0,,2.0,,0.8561261320960717,,39.0,,119.27642440615088,,486.0625549721877,,1.0,,0.0,,305.8825988427764,,2.1538461538461537,,0.0,,1.4,,25.0,
and maybe for too long weve been underestimating ourselves>,545.0,,0.0,,21.8002105676996,,4.0,,22.0,,3.0,,1.0,,1.0,,0.7474288560222212,,77.0,,179.75928715339552,,513.756505480481,,0.0,,1.0,,322.9831388174646,,1.8387096774193548,,6.896551724137931,,1.0172413793103448,,58.0,
andy fastow will be on a leave of absence from the company>,811.0,,0.0,,19.877307416498518,,0.0,,24.0,,4.0,,1.0,,1.0,,0.7875008778384018,,86.0,,249.1277078847436,,531.6194974342222,,1.0,,0.0,,335.25028276399587,,2.0,,0.0,,1.137931034482759,,58.0,
another group of policemen was due to be deployed>,1124.0,,0.0,,21.553158311352213,,0.0,,17.0,,2.0,,0.0,,1.0,,0.8049329403115341,,68.0,,182.97295993095705,,515.521249860574,,1.0,,0.0,,318.2211047086686,,1.9615384615384612,,0.0,,1.0816326530612246,,49.0,
any other use is expressly prohibited>,715.0,,0.0,,23.049384889360734,,0.0,,11.0,,0.0,,0.0,,0.0,,0.7844746380829642,,49.0,,135.744257246327,,520.6212685328113,,0.0,,0.0,,316.1081478421045,,1.7777777777777777,,0.0,,1.0,,37.0,
anything exciting going on today>,268.0,,0.0,,20.706294531910626,,0.0,,11.0,,3.0,,1.0,,1.0,,0.8448054002279978,,46.0,,119.0569854676088,,490.3748538010017,,1.0,,0.0,,289.4663037744108,,2.1333333333333333,,0.0,,1.1875,,32.0,
apparently bp is using the correct pricing>,785.0,,0.0,,19.29017873364929,,0.0,,16.0,,5.0,,1.0,,2.0,,0.8382518237339989,,63.0,,195.6024939006635,,504.7049688358152,,1.0,,0.0,,311.0099047168935,,2.421052631578948,,0.0,,1.238095238095238,,42.0,
appointing jeff as cfo is one important step in that process>,1205.0,,0.0,,21.954854161266923,,0.0,,20.0,,2.0,,2.0,,0.0,,0.8223422926684154,,82.0,,228.13736423231188,,512.9407090941297,,1.0,,0.0,,307.79546480304936,,2.3461538461538463,,0.0,,1.0666666666666669,,60.0,
are things better for you at home tonight>,1130.0,,0.0,,19.28208584410108,,0.0,,15.0,,8.0,,1.0,,1.0,,0.8400921332718233,,59.0,,148.5101573732495,,450.65950036065215,,1.0,,0.0,,283.92588349449403,,2.45,,0.0,,1.3902439024390243,,41.0,
are we ready for this on monday>,524.0,,0.0,,23.04692210927865,,0.0,,8.0,,0.0,,0.0,,0.0,,0.7767009315887538,,43.0,,94.81837056577704,,520.6769018049843,,0.0,,0.0,,313.9757923340426,,1.75,,0.0,,1.0,,31.0,
are you back in town>,315.0,,0.0,,21.18532222381296,,0.0,,8.0,,0.0,,0.0,,0.0,,0.711978983394442,,34.0,,73.5713189049641,,566.4299024213864,,0.0,,0.0,,350.3688064575879,,1.2,,0.0,,1.0,,20.0,
are you being a baby>,431.0,,0.0,,21.763168260588238,,0.0,,9.0,,0.0,,0.0,,0.0,,0.7650769440333648,,31.0,,67.16154757218152,,551.3903056905215,,0.0,,0.0,,334.62092808678943,,1.4615384615384617,,0.0,,1.0,,20.0,
are you feeling better>,659.0,,0.0,,25.63350583428254,,0.0,,7.0,,0.0,,0.0,,0.0,,0.7576972655116617,,26.0,,58.25087949652412,,468.1372917765725,,0.0,,0.0,,271.976984210528,,2.111111111111111,,0.0,,1.0,,22.0,
are you getting all the information you need>,222.0,,0.0,,23.24136798542549,,0.0,,15.0,,0.0,,0.0,,0.0,,0.7767039401028931,,63.0,,136.2515559457904,,516.3207263671019,,0.0,,0.0,,312.72056613899906,,1.8333333333333333,,0.0,,1.0,,44.0,
are you going to apply>,396.0,,0.0,,22.83800920863088,,0.0,,8.0,,0.0,,0.0,,0.0,,0.7578044841764048,,34.0,,66.51596320103216,,525.4398441815581,,0.0,,0.0,,318.8863228600581,,1.3333333333333333,,0.0,,1.0,,22.0,
are you going to call>,859.0,,0.0,,25.301069576888207,,0.0,,6.0,,0.0,,0.0,,0.0,,0.7554627845122935,,25.0,,60.62629280774875,,474.2882494960471,,0.0,,0.0,,276.6913890462885,,2.625,,0.0,,1.0,,21.0,
are you going to join us for lunch>,922.0,,0.0,,21.47064930220701,,0.0,,12.0,,1.0,,1.0,,0.0,,0.7521600280757249,,52.0,,110.57348179012358,,528.6915729271644,,1.0,,0.0,,319.2101546686594,,1.75,,0.0,,1.0588235294117647,,34.0,
are you in a good mood>,140.0,,0.0,,21.739545998139512,,0.0,,10.0,,0.0,,0.0,,0.0,,0.7135658709298051,,36.0,,67.33852225785546,,551.9894482169484,,0.0,,0.0,,349.56547122146344,,1.0588235294117647,,0.0,,1.0,,22.0,
are you in today>,535.0,,0.0,,24.925532363241235,,0.0,,3.0,,0.0,,0.0,,0.0,,0.8536127189738871,,22.0,,51.28122193950316,,481.43405023906007,,0.0,,0.0,,254.33945206533087,,2.1666666666666665,,0.0,,1.0,,16.0,
are you on the diet with me>,97.0,,0.0,,17.8171054763415,,0.0,,10.0,,7.0,,0.0,,1.0,,0.8486281875770685,,44.0,,104.04447534671208,,449.0067149584328,,1.0,,0.0,,286.10575678893065,,2.0,,0.0,,1.5185185185185186,,27.0,
are you sure i dont need to be there>,1242.0,,0.0,,18.29430173093173,,0.0,,16.0,,7.0,,1.0,,1.0,,0.7762953920808469,,60.0,,131.4136700979148,,475.87945585380834,,1.0,,0.0,,303.51561871347906,,1.7916666666666667,,0.0,,1.3888888888888888,,36.0,
argentina have called off their two football internationals in japan>,1241.0,,0.0,,21.44477866140166,,7.0,,23.0,,2.0,,0.0,,1.0,,0.8066406136240686,,92.0,,227.52121882513376,,525.6630273837703,,0.0,,1.0,,330.4067763536728,,1.75,,10.294117647058822,,0.9558823529411764,,68.0,
arkansas called in extra state police to the prison>,587.0,,0.0,,22.75173338508974,,0.0,,16.0,,1.0,,1.0,,0.0,,0.8108748269299948,,67.0,,191.34931990507573,,507.8978098050518,,1.0,,0.0,,302.370844201921,,2.55,,0.0,,1.03921568627451,,51.0,
as for your second question bench mike anderson>,1462.0,,0.0,,23.34019228730119,,0.0,,12.0,,0.0,,0.0,,0.0,,0.7712701438746704,,63.0,,154.82270856971795,,514.1345817673018,,0.0,,0.0,,309.5458443131782,,2.0434782608695654,,0.0,,1.0,,47.0,
as soon as anyone does that they can get nailed>,578.0,,0.0,,21.48889558761778,,0.0,,18.0,,2.0,,0.0,,1.0,,0.8198432556667968,,66.0,,178.11881607874835,,515.4719576796568,,1.0,,0.0,,313.39542095302755,,2.136363636363636,,0.0,,1.0851063829787233,,47.0,
as soon as i get it ill forward it to you>,1457.0,,0.0,,24.55937276856673,,0.0,,12.0,,0.0,,0.0,,0.0,,0.8016636683165707,,51.0,,128.35537209509,,488.611827064194,,0.0,,0.0,,287.58994180932353,,2.7333333333333334,,0.0,,1.0,,41.0,
as soon as we are done well give you a call>,1386.0,,0.0,,22.52782072534881,,0.0,,14.0,,1.0,,1.0,,0.0,,0.8193652305811514,,56.0,,162.5152329485312,,509.5149242132249,,1.0,,0.0,,315.4146307749375,,2.1578947368421053,,0.0,,1.0465116279069768,,43.0,
as they used to say of gandhi he was a mahatma a great soul>,978.0,,0.0,,20.85276349476888,,0.0,,23.0,,3.0,,0.0,,1.0,,0.791172811999542,,91.0,,215.8926215199194,,523.1484504117434,,1.0,,0.0,,326.25865611431254,,1.6388888888888888,,0.0,,1.1016949152542372,,59.0,
